name,Claim status,Verification status,License verified,Insurance verified,Contacted,Contact date,Notes,SOS match status,SOS entity name,SOS status,SOS filing date,SOS address match,slug,phone,email,website,address,city,state,zip,serviceArea,minFee,truckCapacity,hoseLength,waterType,waterSource,isVerifiedPro,isActive,isClaimed,yearsInBusiness,serviceRadius,truckCount,pumpType,hoseMaterial,insuranceCertificate,hours,plusCode,ada,lgbtqFriendly,veteranOwned,womenOwned,certification,description,Duplicate Flag,siteStatus
AZ Spring Water LLC,,,,,,,,,,,,,az-spring-water-llc,(860) 879-2837,,http://www.azspringwater.com/,42807 North 7th Street,Phoenix,AZ,85087,,,,600,,,FALSE,FALSE,FALSE,14,,,,,,,,,,,,,"To be efficient, honest, and courteous is our goal at AZ Spring Water LLC. We deliver potable water to North Phoenix and surrounding areas. Our team is up for every job, no matter how complex, we have the expertise to ensure complete satisfaction. We deliver fresh, clean, clear water straight into your tank, holding tank, pool, above ground pool, spa, jacuzzi, IBC water tanks or any other container. We want our customers to be satisfied with our service, which is why we provide open communication channels throughout each delivery with updates prior to and after a delivery, if requested.",,live
Crystal Creek Water Hauling,,,,,,,,,,,,,crystal-creek-water-hauling,,,,"#2222, Phoenix, AZ 85016, USA",Phoenix,AZ,85016,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,live
H2eco Water,,,,,,,,,,,,,h2eco-water,,,,,Phoenix,AZ,,,250,,,,,FALSE,TRUE,,,,,,,,,,,,,,,,,live
Water Mart,,,,,,,,,,,,,water-mart,(480) 955-8655,,https://www.facebook.com/share/1E8wabKhL1/,10855 North Tatum Boulevard,Phoenix,AZ,85028,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,live
White Water,,,,,,,,,,,,,white-water,(602) 462-5300,,https://www.whitewaternow.com/,301 South 29th Street,Phoenix,AZ,85034,,,3600,,,,FALSE,TRUE,FALSE,24,,,,,,,,,,,,,,,live
Southwest Water Truck,,,,,,,,,,,,,southwest-water-truck,(928) 899-7931,,https://hauledwater.com/,588 South Cold Water Lane,Prescott Valley,AZ,86327,,,2100,,,,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,live
"Dynamite Water, LLC",,,,,,,,,,,,,dynamite-water-llc,(602) 620-9667,,https://www.dynamitewater.com/,28150 North Alma School Parkway,Scottsdale,AZ,85262,,,,,,,FALSE,TRUE,FALSE,30,,,,,,,,,,,,,"Dynamite Water offers flexible bulk water delivery times, from 1-day service to automated systems, available 7 days a week in Scottsdale, AZ.",,live
Rio Verde Foothills Potable Water Hauling,,,,,,,,,,,,,rio-verde-foothills-potable-water-hauling,(602) 228-5547,,http://www.rioverdewater.com/,28150 North Alma School Parkway,Scottsdale,AZ,85262,,,,,,,FALSE,TRUE,FALSE,26,,,,,,,,,,,,,"""Rio Verde delivered the water to refill our 14K gallon pool. The driver was on time with a fast turn-around time. Also a very good competitive price.""",,live
Urbn Water Co. Scottsdale,,,,,,,,,,,,,urbn-water-co-scottsdale,(480) 800-9563,,https://urbnwaterco.com/,14150 North 100th Street,Scottsdale,AZ,85260,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,,,,,,Get the features you need to run your retail store whether you're starting out or scaling up.,,live
Water Express,,,,,,,,,,,,,water-express,(480) 442-4348,,http://waterexpresssite.com/?utm_source=gmb&utm_medium=referral&utm_campaign=13423132249821585125,34706 North 137th Street,Scottsdale,AZ,85262,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,,,,,,"Water is so much more than a commodity, it's a necessity. We bring you clean, safe and affordable fresh drinking water from commercial fill stations throughout the north valley.",,live
The Brad H2o Delivery,,,,,,,,,,,,,the-brad-h2o-delivery,(928) 821-1193,,https://www.facebook.com/brad.waterdelivery,22670 Pine Street,Seligman,AZ,86337,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,live
Streamline Water LLC,,,,,,,,,,,,,streamline-water-llc,(480) 422-9790,,,2010 East University Drive,Tempe,AZ,85288,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,live
Andy's Water Truck Service,,,,,,,,,,,,,andys-water-truck-service,(520) 622-0933,,,"4718 S Irving Ave, Tucson, AZ 85714, USA",Tucson,AZ,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,live
Camel Water Service,,,,,,,,,,,,,camel-water-service,(520) 744-1300,,,,Tucson,AZ,,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,live
Splash Water Services,,,,,,,,,,,,,splash-water-services,(520) 623-3284,,https://splashbulkwater.com/,"16821 W Silverbell, Marana, AZ 85653, USA",Tucson,AZ,,,,4000,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,"With Splash Bulk Water, you can rest assured that the water is clean and safe. When you opt for bulk water delivery service, you can be confident that you will receive clean, pre-treated water, which means it will have less rust, minerals, and metals.",,live
Bulk Water,,,,,,,,,,,,,bulk-water,,,,"Williams, AZ 86046, USA",Williams,AZ,86046,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,live
Grand Canyon Drinking Water,,,,,,,,,,,,,grand-canyon-drinking-water,(928) 679-3558,info.gcdw@gmail.com,https://gcdwater.com/,5041 N Deel Drive,Williams,AZ,86046,Self-serve water station and potable water delivery serving the Williams area and surrounding communities.,,,,potable,,FALSE,TRUE,FALSE,,,,,,,"We deliver Monday thru Friday, from 8am to 4pm","MV26+WR Valle, Arizona",FALSE,FALSE,FALSE,FALSE,,"Our water storage facility is located in Red Lake, four miles north of Williams on Highway 64. Our water is hauled into our large water storage tanks from private wells in Bellemont in our 6,800-gallon tankers. From there it is loaded into either our 4,000-gallon or 2,000-gallon tankers for residential delivery.  Our top priority is to provide the highest quality water. Pure Quality Water Every Drop . . . Every Tank . . . Every Time . . . No exceptions!",,live
Knighthood Water Services LLC,,,,,,,,,,,,,knighthood-water-services-llc,(928) 600-1315,,https://knighthoodwaterservices.com/,7102 East Knighthood Lane,Williams,AZ,86046,,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,Sherwood Forests Exclusive Residential and Commercial Water Delivery Service! Call today to schedule your delivery! (928) 600-1315,,live
Northern Arizona Water Delivery LLC,,,,,,,,,,,,,northern-arizona-water-delivery-llc,(928) 539-5584,,,517 South Friar Tuck Trail,Williams,AZ,86046,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,live
Alpha Omega Water Hauling,,,,,,,,,,,,,alpha-omega-water-hauling,(928) 582-1126,,http://alphaomegawaterhauling.com/,,Yavapai,AZ,,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,,,,,,,,live
Acton Water Company,,Verified 05/07/26,,,,,,Verified 05/07/26,,Active,,,acton-water-company,(661) 269-5000,,,3375 Country Way,Acton,CA,93510,,,,,,,FALSE,TRUE,FALSE,20+,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Lunde Water Company,,,,,,,,,,,,,lunde-water-company,(661) 269-5087,,,3370 Country Way,Acton,CA,93510,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,live
"Lunde Water, LLC",,,,,,,,,,,,,lunde-water-llc,16612695087,,http://lundewaterllc.com/,3370 Country Way,Acton,CA,93510,,,,,,,FALSE,TRUE,FALSE,,,,,,,Sunday: Closed Monday: 7 AM–5 PM Tuesday: 7 AM–5 PM Wednesday: 7 AM–5 PM Thursday: 7 AM–5 PM Friday: 7 AM–5 PM Saturday: 7 AM–5 PM,"FR44+VJ Acton, California",FALSE,FALSE,FALSE,FALSE,,,,live
Rain Maker,,,,,,,,,,,,,rain-maker,(661) 298-5448,,,12800 Sierra Highway,Agua Dulce,CA,91390,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Wendy's Water Truck Company LLC,,,,,,,,,,,,,wendys-water-truck-company,+16619444420,,https://wendyswater.com/,Pearblossom,Antelope Valley,CA,93553,,,4000,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,TRUE,License # 96094,"The A.V.'s Only Drinking Water Source. We Are California Health Dept. Certified and L.A. County Approved.  - Swimming Pool Services - image2 Pools, ponds, we do it all!     *Certified clean water ONLY  *NON- POTABLE, IRRIGATION, or RECYCLED WATER NEVER USED",,live
Traynham Ranch,,,,,,,,,,,,,traynham-ranch,(530) 476-2236,,,7082 Tule Road,Arbuckle,CA,95912,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Sala Bros Water Trucking Inc.,,,,,,,,,,,,,sala-bros-water-trucking-inc,(831) 726-3903,,,1935 El Camino Real,Aromas,CA,95004,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Bow Valley Agri-Land Services,,,,,,,,,,,,,bow-valley-agri-land-services,(805) 423-9357,,,14500 El Camino Real,Atascadero,CA,93422,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
"Ashbrook Enterprises, Inc.",,,,,,,,,,,,,ashbrook-enterprises-inc,(559) 855-8785,,,35776 Aunt Julia Lane,Auberry,CA,93602,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Scott Houston's Potable Water,,,,,,,,,,,,,scott-houstons-potable-water,(559) 855-3430,,,31485 Auberry Road,Auberry,CA,93602,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Norm Paul Water Hauling Inc,,,,,,,,,,,,,norm-paul-water-hauling-inc,+15308855760,,,1101 Skyline Dr,Auburn,CA,95602,,,,,,,FALSE,TRUE,FALSE,,,,,,,,"WWXQ+72 Auburn, California",FALSE,FALSE,FALSE,FALSE,,,,pending
"Norm Paul, Inc.",,,,,,,,,,,,,norm-paul-inc,(530) 885-5760,,,1101 Skyline Drive,Auburn,CA,95602,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Laramy Water Inc.,,,,,,,,,,,,,laramy-water-inc,(661) 324-4718,,,116 Baker Street,Bakersfield,CA,93305,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
"McMor Chlorination, Inc.",,,,,,,,,,,,,mcmor-chlorination-inc,(661) 323-9400,,,"6734 Charity Avenue, Bay #8",Bakersfield,CA,93308,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Bureau of Land Management,,,,,,,,,,,,,bureau-of-land-management,(760) 577-5355,,,2601 Barstow Road,Barstow,CA,92311,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
B & B Portable Toilets LLC,,,,,,,,,,,,,b-b-portable-toilets-llc,(707) 445-0830,,,150 Taylor Way,Blue Lake,CA,95525,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Rio Tinto Minerals - Boron,,,,,,,,,,,,,rio-tinto-minerals-boron,(760) 762-7000,,,14486 Borax Road,Boron,CA,93516,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,"Mack's Water Trucks provides reliable potable water delivery for tank fills, pool fills, dust control, and emergency services.",,pending
"D & M Water Company, Inc.",no,no,no,no,,,,no,no,no,no,no,d-m-water-company-inc,(760) 344-2100,,,1548 Jones Street,Brawley,CA,92227,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
"Valley Tool Rentals (VTR, Inc.)",,,,,,,,,,,,,valley-tool-rentals-vtr-inc,(805) 688-7213,,,870 North Mc Murray Road,Buellton,CA,93427,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Cal Abel,,,,,,,,,,,,,cal-abel,(916) 799-1059,,,1921 Larsen Road,Camino,CA,95709,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
"Aldon, LLC.",,,,,,,,,,,,,aldon-llc,(707) 498-4645,,,70 Central Avenue,Carlotta,CA,95501,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
"Packway Materials, Inc.",,,,,,,,,,,,,packway-materials-inc,(530) 335-4197,,,22244 Cassel Road,Cassel,CA,96016,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Paradise Ranch LLC,,,,,,,,,,,,,paradise-ranch-llc,(661) 257-2728,,,36200 Paradise Ranch Road,Castaic,CA,91384,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
RMR Water Trucks,,,,,,,,,,,,,rmr-water-trucks,(661) 257-3303,,,32016 N. Castaic Road,Castaic,CA,91384,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Pure Water Bulk,,,,,,,,,,,,,pure-water-bulk,(831) 633-9333,info@purewaterbottling.com,https://purewaterbottling.com/,11265 Commercial Pkwy,Castroville,CA,95012,"Castroville, CA; Monterey Peninsula",,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,"Locally owned bottled water business offering bulk water, 5-gallon bottles, dispensers, custom sports bottles, and coffee service.",,live
Tough Company Fire Inc.,,,,,,,,,,,,,tough-company-fire-inc,(530) 228-5384,,,2669 Highway 32,Chico,CA,95973,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Jim Brough,,,,,,,,,,,,,jim-brough,(559) 299-5555,,,11220 North Fowler Avenue,Clovis,CA,93619,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
"MCS Construction, Inc.",,,,,,,,,,,,,mcs-construction-inc,(559) 294-9616,,,2882 Larkin Avenue,Clovis,CA,93613,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
"Pacific Equipment Services, LLC",,,,,,,,,,,,,pacific-equipment-services-llc,(800) 726-0073,,,8350 East Shaw Avenue,Clovis,CA,93619,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Coachella Valley Water District,,,,,,,,,,,,,coachella-valley-water-district,(760) 398-2661,,,85-995 Avenue 52,Coachella,CA,92236,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Giffords Backhoe Services Inc.,,,,,,,,,,,,,giffords-backhoe-services-inc,(707) 928-5240,,,11482 Giffords Springs Road,Cobb,CA,95426,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
"Special Operations Group, Inc.",,,,,,,,,,,,,special-operations-group-inc,(307) 527-5000,,,526 Railroad Street,Corona,CA,92880,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Northstate Heavy Equipment Rental,,,,,,,,,,,,,northstate-heavy-equipment-rental,(530) 347-5604,,,18805 Quailridge Road,Cottonwood,CA,96022,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
"Casini Enterprises, Inc.",,,,,,,,,,,,,casini-enterprises-inc,(707) 865-2408,,,22855 Moscow Road,Duncans,CA,95430,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Roman's Water Inc.,,,,,,,,,,,,,romans-water-inc,(760) 353-0067,,,902 1/2 South Second Street,El Centro,CA,92243,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
National Park Service,,,,,,,,,,,,,national-park-service,(209) 379-1077,,,5083 Foresta Road,El Portal,CA,95318,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Palomar Mountain Premium Spring,,,,,,,,,,,,,palomar-mountain-premium-spring,(760) 743-0140,,http://www.palomarwater.com/,1270 West Mission Road,Escondido,CA,92029,"Escondido, CA; spring water sourced from the Palomar Mountains",,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,LinkedIn lists the company website as palomarwater.com; an industry listing describes the brand as founded in 1984 and a spring-water supplier.,,live
Matthew J. Johnson,,,,,,,,,,,,,matthew-j-johnson,(530) 467-3535,,,723 Horn Lane,Etna,CA,96027,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
"Frank S. Zabel Trucking Co., Inc.",,,,,,,,,,,,,frank-s-zabel-trucking-co-inc,(707) 443-4277,,,4726 Cummings Road,Eureka,CA,95503,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Terry's Pumps & Filters,,,,,,,,,,,,,terrys-pumps-filters,(707) 443-4466,,,2308 Pine Street,Eureka,CA,95501,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Heavy Gear Enterprise,,,,,,,,,,,,,heavy-gear-enterprise,(707) 529-4426,,,8925 Argonne Way,Forestville,CA,95436,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Malsom Trucking,,,,,,,,,,,,,malsom-trucking,(707) 964-0355,,,20075 Hanson Road,Fort Bragg,CA,95437,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Duerr Enterprises,,,,,,,,,,,,,duerr-enterprises,(530) 598-1112,,,6737 North Highway 3,Fort Jones,CA,96032,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
"Bubba's Water Truck Service, Inc",,,,,,,,,,,,,bubbas-water-truck-service,+15592420100,info@bubbaswts.com,https://bubbaswts.com/,1225 S West Ave,Fresno,CA,93706,Central Valley,,6500,,both,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,CDPH Certified Water Hauler,"At Bubba’s, we are committed to providing top-quality potable water delivery, dust control, and aggregate hauling services to our customers across the Central Valley.  Residential Delivery Commercial Delivery Dust Control Aggregate Hauling",,live
Kevin Fillebrown,,,,,,,,,,,,,kevin-fillebrown,(559) 375-4273,,,5722 N. 5th Street,Fresno,CA,93710,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,"AG Water Solutions is a family-owned Florida service delivering high-quality pool and potable water, offering tanker rentals and pumping.",,pending
"Glamis Dunes Storage, Inc.",,,,,,,,,,,,,glamis-dunes-storage-inc,(760) 351-1301,,,5379 East Highway 78,Glamis,CA,92227,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
A-1 Water Service,,,,,,,,,,,,,a-1-water-service,(805) 685-5000,,,567 Carlo Drive,Goleta,CA,93117,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
"All Clean Water Solutions, LLC",,,,,,,,,,,,,all-clean-water-solutions-llc,(888) 896-8047,,,564 Vereda Parque,Goleta,CA,93117,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Aqua Truck Inc.,,,,,,,,,,,,,aqua-truck-inc,(805) 455-0554,,,700 Thornwood,Goleta,CA,93117,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Craig Dewsnup Trucking,,,,,,,,,,,,,craig-dewsnup-trucking,(530) 846-3116,,,179 Little Avenue,Gridley,CA,95948,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
J & D Fire Suppression LLC,,,,,,,,,,,,,j-d-fire-suppression-llc,(530) 598-1045,,,1333 Curly Jack Road,Happy Camp,CA,96039,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Allied Water Service,,,,,,,,,,,,,allied-water-service,(800) 432-1183,,,122 Trinity Pines Drive,Hayfork,CA,96041,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Angelo Dean Cattaneo Trucking,,,,,,,,,,,,,angelo-dean-cattaneo-trucking,(530) 356-9435,,,142 Kingsbury Road,Hayfork,CA,96041,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Clear Water Supply,,,,,,,,,,,,,clear-water-supply,(707) 443-6028,,,2323 West Dry Creek Road,Healdsburg,CA,95448,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Leras Potable Water Trucks,,,,,,,,,,,,,leras-potable-water-trucks,(707) 546-5797,,leraspotablewatertrucks.com,145 Alexander Valley Rd,Healdsburg,CA,95448,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,Lic # 43202,"Leras Potable Water Trucks specializes in bulk potable water deliveries for homes, businesses, contractors, vineyards, pools, and events.",,live
"Alpha Site Logistics, Inc.",,,,,,,,,,,,,alpha-site-logistics-inc,(760) 352-8383,,,101 East Main Street,Heber,CA,92249,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,A licensed potable hauler serving the critical water needs of the arid Imperial Valley.,,live
A. C. Water Service,,,,,,,,,,,,,a-c-water-service,(951) 926-0004,,,40339 Johnston Avenue,Hemet,CA,92544,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
Western States Portable Wash,,,,,,,,,,,,,western-states-portable-wash,(951) 925-1857,,,1710 Terrace Drive,Hemet,CA,92544,,,,,,,FALSE,TRUE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,,,pending
